f0_,price_eur
2021-07-29T10:00:00,9.83
2021-07-29T21:00:00,56.05
2021-07-29T07:00:00,69.23
2021-07-29T18:00:00,74.98
2021-07-29T04:00:00,44.71
2021-07-29T15:00:00,-1.09
2021-07-29T12:00:00,0
2021-07-29T23:00:00,55.41
2021-07-29T09:00:00,48.59
2021-07-29T20:00:00,56.02
2021-07-29T06:00:00,57.65
2021-07-29T17:00:00,44.69
2021-07-29T03:00:00,43.43
2021-07-29T14:00:00,-8.86
2021-07-29T11:00:00,0.07
2021-07-29T22:00:00,59.66
2021-07-29T08:00:00,65.94
2021-07-29T19:00:00,62.49
2021-07-29T05:00:00,50.85
2021-07-29T16:00:00,0.09
2021-07-29T02:00:00,45.98
2021-07-29T13:00:00,-4.95
2021-07-30T01:00:00,49.81
2021-07-30T00:00:00,48.35
2021-10-11T22:00:00,104.42
2021-10-11T12:00:00,107.37
2021-10-11T16:00:00,103.44
2021-10-11T18:00:00,116.7
2021-10-11T09:00:00,120.56
2021-10-11T04:00:00,99.94
2021-10-11T17:00:00,110.44
2021-10-11T11:00:00,109.71
2021-10-11T10:00:00,116.3
2021-10-11T03:00:00,107.1
2021-10-11T05:00:00,79.95
2021-10-11T23:00:00,96.58
2021-10-11T19:00:00,116.8
2021-10-11T14:00:00,98.96
2021-10-11T06:00:00,166.49
2021-10-11T15:00:00,101.2
2021-10-11T21:00:00,106.02
2021-10-11T13:00:00,101.88
2021-10-11T20:00:00,110.35
2021-10-11T08:00:00,171.29
2021-10-11T02:00:00,108.55
2021-10-11T07:00:00,206.16
2021-10-12T01:00:00,94.24
2021-10-12T00:00:00,96.36
2021-10-12T15:00:00,128.13
2021-10-12T10:00:00,197.96
2021-10-12T08:00:00,188.44
2021-10-12T21:00:00,193.2
2021-10-12T16:00:00,149.36
2021-10-12T13:00:00,123.01
2021-10-12T22:00:00,184.68
2021-10-12T09:00:00,203.48
2021-10-12T04:00:00,93.36
2021-10-12T02:00:00,85.9
2021-10-12T12:00:00,128.17
2021-10-12T05:00:00,103.87
2021-10-12T23:00:00,140.11
2021-10-12T06:00:00,111.85
2021-10-12T07:00:00,175.8
2021-10-12T03:00:00,90
2021-10-12T18:00:00,235.44
2021-10-12T17:00:00,200
2021-10-12T14:00:00,122.31
2021-10-12T11:00:00,165
2021-10-12T19:00:00,248.08
2021-10-12T20:00:00,226.74
2021-10-13T01:00:00,152.01
2021-10-13T00:00:00,151.93
2021-10-10T09:00:00,151.68
2021-10-10T03:00:00,119.41
2021-10-10T06:00:00,140.5
2021-10-10T16:00:00,123.85
2021-10-10T17:00:00,165.29
2021-10-10T15:00:00,89.82
2021-10-10T04:00:00,118.88
2021-10-10T13:00:00,86.3
2021-10-10T19:00:00,240.57
2021-10-10T07:00:00,163.99
2021-10-10T18:00:00,216.06
2021-10-10T22:00:00,179.72
2021-10-10T14:00:00,69.22
2021-10-10T20:00:00,221.7
2021-10-10T21:00:00,159.62
2021-10-10T12:00:00,96.07
2021-10-10T10:00:00,127.69
2021-10-10T23:00:00,128.41
2021-10-10T08:00:00,169.11
2021-10-10T02:00:00,122.11
2021-10-10T11:00:00,119.52
2021-10-10T05:00:00,120.88
2021-10-11T00:00:00,72.61
2021-10-11T01:00:00,79.93
2021-11-20T16:00:00,88.19
2021-11-20T23:00:00,85.01
2021-11-20T22:00:00,85.01
2021-11-20T07:00:00,86.22
2021-11-20T09:00:00,86.68
2021-11-20T01:00:00,85.61
2021-11-20T04:00:00,85.61
2021-11-20T19:00:00,86.56
2021-11-20T17:00:00,87.42
2021-11-20T20:00:00,86
2021-11-20T21:00:00,83.2
2021-11-20T11:00:00,87.24
2021-11-20T02:00:00,85.55
2021-11-20T12:00:00,86.59
2021-11-20T08:00:00,86.59
2021-11-20T03:00:00,85.52
2021-11-20T18:00:00,87.25
2021-11-20T05:00:00,85.63
2021-11-20T06:00:00,85.63
2021-11-20T15:00:00,86.55
2021-11-20T13:00:00,86.23
2021-11-20T14:00:00,86.34
2021-11-20T10:00:00,87.89
2021-11-21T00:00:00,72.61
2021-10-15T01:00:00,25.56
2021-10-15T00:00:00,27.44
2021-10-14T06:00:00,135.23
2021-10-14T15:00:00,98.28
2021-10-14T02:00:00,93.08
2021-10-14T05:00:00,77.07
2021-10-14T16:00:00,97.01
2021-10-14T17:00:00,101.51
2021-10-14T14:00:00,98.89
2021-10-14T23:00:00,25.54
2021-10-14T12:00:00,108.14
2021-10-14T10:00:00,217.21
2021-10-14T18:00:00,98.38
2021-10-14T22:00:00,67.3
2021-10-14T08:00:00,260
2021-10-14T07:00:00,235.05
2021-10-14T11:00:00,157.1
2021-10-14T13:00:00,103.82
2021-10-14T19:00:00,92.58
2021-10-14T21:00:00,86.33
2021-10-14T09:00:00,245
2021-10-14T20:00:00,91.12
2021-10-14T03:00:00,93.07
2021-10-14T04:00:00,93.53
2021-10-14T01:00:00,99.32
2021-10-14T00:00:00,99.9
2021-10-13T17:00:00,213.96
2021-10-13T05:00:00,151.45
2021-10-13T18:00:00,246.99
2021-10-13T22:00:00,153.18
2021-10-13T13:00:00,168.74
2021-10-13T12:00:00,189.75
2021-10-13T10:00:00,211.31
2021-10-13T20:00:00,235
2021-10-13T08:00:00,250.59
2021-10-13T06:00:00,196.17
2021-10-13T23:00:00,116.12
2021-10-13T14:00:00,165.42
2021-10-13T07:00:00,229.3
2021-10-13T21:00:00,199.07
2021-10-13T16:00:00,189.9
2021-10-13T09:00:00,238.97
2021-10-13T11:00:00,195.56
2021-10-13T02:00:00,140.07
2021-10-13T19:00:00,287.31
2021-10-13T03:00:00,132.43
2021-10-13T04:00:00,135
2021-10-13T15:00:00,167.6
2021-11-24T00:00:00,91.7
2021-11-23T15:00:00,160.06
2021-11-23T21:00:00,92.61
2021-11-23T09:00:00,230.03
2021-11-23T17:00:00,148.06
2021-11-23T14:00:00,160.1
2021-11-23T23:00:00,89.46
2021-11-23T10:00:00,200
2021-11-23T22:00:00,91.01
2021-11-23T05:00:00,90.07
2021-11-23T11:00:00,224.96
2021-11-23T07:00:00,185.89
2021-11-23T12:00:00,209.02
2021-11-23T18:00:00,124.17
2021-11-23T20:00:00,97.5
2021-11-23T02:00:00,88.5
2021-11-23T01:00:00,88.64
2021-11-23T19:00:00,109.38
2021-11-23T13:00:00,180.08
2021-11-23T08:00:00,248.73
2021-11-23T16:00:00,162.92
2021-11-23T06:00:00,121.46
2021-11-23T03:00:00,67.32
2021-11-23T04:00:00,47.68
2021-10-16T15:00:00,67.27
2021-10-16T17:00:00,120.29
2021-10-16T04:00:00,97.77
2021-10-16T16:00:00,119.32
2021-10-16T03:00:00,97.43
2021-10-16T14:00:00,83.92
2021-10-16T07:00:00,99.55
2021-10-16T19:00:00,113.32
2021-10-16T10:00:00,92.36
2021-10-16T09:00:00,94.59
2021-10-16T11:00:00,91.96
2021-10-16T05:00:00,97.78
2021-10-16T22:00:00,107.39
2021-10-16T02:00:00,97.15
2021-10-16T12:00:00,90.78
2021-10-16T13:00:00,88.63
2021-10-16T08:00:00,99.27
2021-10-16T20:00:00,116.18
2021-10-16T21:00:00,112.49
2021-10-16T23:00:00,104.99
2021-10-16T06:00:00,97.62
2021-10-16T18:00:00,114.95
2021-10-17T01:00:00,106.29
2021-10-17T00:00:00,106.67
2021-11-22T00:00:00,175.86
2021-11-21T06:00:00,77.47
2021-11-21T22:00:00,101.56
2021-11-21T09:00:00,97.11
2021-11-21T03:00:00,77.4
2021-11-21T04:00:00,79.06
2021-11-21T14:00:00,97.23
2021-11-21T08:00:00,98.18
2021-11-21T18:00:00,103.83
2021-11-21T12:00:00,91.78
2021-11-21T16:00:00,110.85
2021-11-21T15:00:00,99.59
2021-11-21T07:00:00,80.31
2021-11-21T17:00:00,116.81
2021-11-21T05:00:00,79.61
2021-11-21T02:00:00,77.44
2021-11-21T01:00:00,78.99
2021-11-21T19:00:00,99.85
2021-11-21T11:00:00,95.16
2021-11-21T10:00:00,96.7
2021-11-21T23:00:00,99.82
2021-11-21T21:00:00,102.59
2021-11-21T13:00:00,91.66
2021-11-21T20:00:00,101.52
2021-11-22T01:00:00,153.75
2021-11-22T10:00:00,174.2
2021-11-22T04:00:00,152.63
2021-11-22T23:00:00,87.4
2021-11-22T17:00:00,226.6
2021-11-22T16:00:00,184.9
2021-11-22T06:00:00,239.36
2021-11-22T07:00:00,282.61
2021-11-22T15:00:00,176.9
2021-11-22T20:00:00,98.05
2021-11-22T18:00:00,111.92
2021-11-22T22:00:00,88.53
2021-11-22T02:00:00,138.32
2021-11-22T11:00:00,220
2021-11-22T21:00:00,94.97
2021-11-22T14:00:00,190
2021-11-22T05:00:00,163.95
2021-11-22T09:00:00,230.02
2021-11-22T03:00:00,131.7
2021-11-22T19:00:00,116.27
2021-11-22T13:00:00,189.44
2021-11-22T08:00:00,269.91
2021-11-22T12:00:00,180
2021-11-23T00:00:00,88.78
2021-10-16T00:00:00,97
2021-10-16T01:00:00,97.7
2021-10-15T02:00:00,34.54
2021-10-15T12:00:00,65.82
2021-10-15T16:00:00,73.18
2021-10-15T09:00:00,90.01
2021-10-15T13:00:00,56.49
2021-10-15T19:00:00,99.11
2021-10-15T11:00:00,72.19
2021-10-15T18:00:00,99.04
2021-10-15T20:00:00,92.12
2021-10-15T21:00:00,90.97
2021-10-15T14:00:00,62.63
2021-10-15T07:00:00,87.38
2021-10-15T22:00:00,92.33
2021-10-15T04:00:00,56.51
2021-10-15T10:00:00,77.66
2021-10-15T05:00:00,67.21
